city,link,title,date,image
Austin,https://communityimpact.com/round-rock/business/new-restaurant-opening-soon-in-downtown-round-rock/,New restaurant opening soon in downtown Round Rock,4h ago,https://communityimpact.com/_next/image/?url=https%3A%2F%2Fassets.communityimpact.com%2Fuploads%2Fimages%2F2026%2F08%2F13%2F436736.jpeg&w=1920&q=75
Austin,https://communityimpact.com/georgetown/business/paris-baguette-bakery-cafe-opens-aug-14-in-georgetown/,Paris Baguette bakery cafe opens Aug. 14 in Georgetown,4h ago,https://communityimpact.com/_next/image/?url=https%3A%2F%2Fassets.communityimpact.com%2Fuploads%2Fimages%2F2026%2F08%2F13%2F436699.jpg&w=1920&q=75
Austin,https://communityimpact.com/bastrop-cedar-creek/business/burgers-boba-check-out-5-of-the-most-read-restaurant-updates-in-bastrop-this-summer/,Burgers & boba: Check out 5 of the most-read restaurant updates in Bastrop this summer,5h ago,https://communityimpact.com/_next/image/?url=https%3A%2F%2Fassets.communityimpact.com%2Fuploads%2Fimages%2F2026%2F08%2F12%2F436532.jpg&w=1920&q=75
Austin,https://communityimpact.com/new-braunfels/business/sip-n-putt-to-relocate-within-new-braunfels/,Sip-N-Putt to relocate within New Braunfels,8h ago,https://communityimpact.com/_next/image/?url=https%3A%2F%2Fassets.communityimpact.com%2Fuploads%2Fimages%2F2026%2F08%2F13%2F436463.jpg&w=1920&q=75
Austin,https://communityimpact.com/san-marcos-buda-kyle/business/from-new-rest-stops-to-upcoming-grocers-check-out-12-san-marcos-business-updates/,From new rest stops to upcoming grocers: Check out 12 San Marcos business updates,13h ago,https://communityimpact.com/_next/image/?url=https%3A%2F%2Fassets.communityimpact.com%2Fuploads%2Fimages%2F2026%2F08%2F07%2F435967.JPG&w=1920&q=75
Austin,https://communityimpact.com/san-marcos-buda-kyle/business/buc-ees-in-san-marcos-officially-opens-to-large-crowds-of-customers/,Buc-ee’s in San Marcos officially opens to large crowds of customers,1d ago,https://communityimpact.com/_next/image/?url=https%3A%2F%2Fassets.communityimpact.com%2Fuploads%2Fimages%2F2026%2F08%2F12%2F436512.jpg&w=1920&q=75
Dallas - Fort Worth,https://communityimpact.com/grapevine-colleyville-southlake/business/tacos-digging-7-grapevine-colleyville-southlake-businesses-opening-soon/,"Tacos, digging: 7 Grapevine, Colleyville, Southlake businesses opening soon",3h ago,https://communityimpact.com/_next/image/?url=https%3A%2F%2Fassets.communityimpact.com%2Fuploads%2Fimages%2F2026%2F08%2F13%2F436794.jpeg&w=1920&q=75
Dallas - Fort Worth,https://communityimpact.com/allen/business/louis-g-jewelry-celebrates-1st-anniversary-of-allen-location/,Louis G. Jewelry celebrates 1st anniversary of Allen location,4h ago,https://communityimpact.com/_next/image/?url=https%3A%2F%2Fassets.communityimpact.com%2Fuploads%2Fimages%2F2026%2F08%2F13%2F436689.jpg&w=1920&q=75
Dallas - Fort Worth,https://communityimpact.com/frisco/business/check-out-6-banking-updates-in-frisco/,Check out 6 banking updates in Frisco,6h ago,https://communityimpact.com/_next/image/?url=https%3A%2F%2Fassets.communityimpact.com%2Fuploads%2Fimages%2F2026%2F08%2F13%2F435835.png&w=1920&q=75
Dallas - Fort Worth,https://communityimpact.com/prosper-celina/business/city-officials-plan-celina-themed-store-for-downtown-center/,City officials plan Celina-themed store for Downtown Center,1d ago,https://communityimpact.com/_next/image/?url=https%3A%2F%2Fassets.communityimpact.com%2Fuploads%2Fimages%2F2026%2F08%2F12%2F436508.jpg&w=1920&q=75
